========================================================================================================================
MEDIAN TRANSFORMER BLOCK
========================================================================================================================
Model     : nvidia/Kimi-K2.5-NVFP4
Framework : vLLM v0.19.2rc1
Block type: MoE_Decode
Block idx : 10 (of 33 total)
Status    : REPRESENTATIVE

Timing:
  Wall time    :      97919 ns (97.9 us)
  Compute time :     124253 ns (124.3 us)
  Idle time    :     -26334 ns (-26.9%)

Distribution (representative blocks):
  Min=95647 P25=96864 Median=97919 P75=98784 Max=102240 CoV=1.52%


================================================================================
MEDIAN BLOCK 10 (ops 297..325)
  Type: MoE_Decode  |  Status: REPRESENTATIVE  |  Ops: 29
  Wall time: 97919 ns  |  Compute: 124253 ns  |  Idle: -26334 ns (-26.9%)
  Time range: 732621996 .. 732719915 ns
+-----+-------------------------------+----------------------------------------------------+--------+-------------+---------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | high_level_op                 | kernel_name                                        | stream | duration_ns | source_code_ref                                                                             | source_code_explanation                                                                                                                                                                                                                                                                                                                                           |
| 17  | shared_exp_gate_up_fp4_gemm   | device_kernel                                      | 3649   | 9216        | fused_moe shared expert -> FlashInfer CUTLASS FP4 GEMM gate_up 7168->512/rank               | FlashInfer CUTLASS FP4 GEMM on stream 3649 for shared expert gate_up projection. Uses DeviceGemmFp4GemmSm100 with 128x64x128 tile, grid=1x8. Projects 7168 -> 512/rank (2x256 for gate+up).                                                                                                                                                                       |
| 18  | moe_input_fp4_quantize        | cvt_fp16_to_fp4_sf_major                           | 23     | 2784        | fused_moe/nvfp4.py -> cvt_fp16_to_fp4_sf_major quantizes BF16 activations to NVFP4          | vLLM cvt_fp16_to_fp4_sf_major kernel that quantizes BF16 input activations to NVFP4 (E2M1) format with block scaling for the MoE expert GEMMs. Scale-factor-major layout for efficient TRT-LLM kernel consumption. Grid=1x2.                                                                                                                                      |
| 19  | moe_routing_data_copy         | vectorized_elementwise_kernel                      | 23     | 1984        | fused_moe routing -> bfloat16_copy copies routing bias/data for expert selection            | PyTorch bfloat16_copy_kernel that copies routing-related data (expert bias/scores) needed for the routing decision. Single thread block for small data transfer.                                                                                                                                                                                                  |
| 20  | moe_routing_indices_compute   | routingIndicesBlockKernel                          | 23     | 7808        | fused_moe/trtllm_nvfp4_moe.py -> routingIndicesBlockKernel computes topk expert indices     | TRT-LLM routingIndicesBlockKernel that computes the top-8 expert assignment for each token. Applies sigmoid scoring, noaux_tc topk selection with e_score_correction_bias. Produces permutation indices for token-to-expert routing. Grid=1, 384 threads (one per expert).                                                                                        |
| 21  | shared_exp_silu_mul_act       | triton_poi_fused_mul_silu_slice_0                  | 3649   | 2496        | deepseek_v2.py:232 -> SiluAndMul activation on shared expert gate_up output                 | Torch.compile/Inductor-generated Triton kernel on stream 3649 for shared expert SiLU+Mul activation. Applies SiLU to gate portion and multiplies with up portion. Grid=1, single token batch.                                                                                                                                                                     |
| 22  | shared_exp_down_buffer_init   | vectorized_elementwise_kernel                      | 3649   | 1344        | fused_moe shared expert -> FillFunctor<int> initializes buffer for down projection          | PyTorch FillFunctor<int> kernel on stream 3649 that initializes the buffer for shared expert down projection. Grid=1, single block. Prepares workspace for the down proj GEMM output.                                                                                                                                                                             |
| 23  | shared_exp_down_fp4_quant     | cvt_fp16_to_fp4                                    | 3649   | 1472        | fused_moe shared expert -> cvt_fp16_to_fp4 quantizes activation for shared down GEMM        | vLLM cvt_fp16_to_fp4 kernel on stream 3649 that quantizes BF16 intermediate activation to NVFP4 for the shared expert down projection GEMM. Grid=128.                                                                                                                                                                                                             |
| 24  | moe_expert_gate_up_fp4_gemm   | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512.. | 23     | 10304       | fused_moe/trtllm_nvfp4_moe.py -> E2M1 FP4 BMM gate_up GEMM with fused SwiGLU                | TRT-LLM FP4 batched matrix multiply for MoE gate_up projection with fused SwiGLU activation. E2M1 format, grid=4x8 (4 token groups x 8 experts). Computes gate_up(7168 -> 2x256/rank) with internal SiLU gating. Uses scale_factor-major FP4 weights.                                                                                                             |
| 25  | shared_exp_down_proj_fp4_gemm | device_kernel                                      | 3649   | 4640        | fused_moe shared expert -> FlashInfer CUTLASS FP4 GEMM down_proj 256->7168/rank             | FlashInfer CUTLASS FP4 GEMM on stream 3649 for shared expert down projection. Uses DeviceGemmFp4GemmSm100 with 128x128x256 tile, grid=1x56. Projects 256/rank -> 7168 (hidden_size). TP-partial output, reduce_results=False.                                                                                                                                     |
| 26  | moe_expert_down_proj_gemm     | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_.. | 23     | 7648        | fused_moe/trtllm_nvfp4_moe.py -> Bfloat16 output FP4 BMM down projection GEMM               | TRT-LLM FP4 batched matrix multiply for MoE down projection. BFloat16 output from E2M1 FP4 computation, grid=56x8. Computes down(256/rank -> 7168) to project expert intermediate back to hidden dimension. Each expert contributes a TP-partial output.                                                                                                          |
| 27  | moe_finalize_unpermute_reduce | finalizeKernel                                     | 23     | 4064        | fused_moe/no_dp_ep.py -> finalizeKernel unpermutes expert outputs + weighted reduce         | TRT-LLM finalizeKernel that unpermutes expert outputs back to token order and performs weighted reduction across the top-8 experts. Grid=28 blocks (token groups). Produces the combined routed expert output.                                                                                                                                                    |
| 28  | moe_add_shared_scale_output   | triton_poi_fused_add_mul_0                         | 23     | 1631        | deepseek_v2.py:351-378 -> triton fused add(routed,shared) + mul(scaling_factor=2.827)       | Torch.compile/Inductor-generated Triton pointwise kernel. Adds routed expert output with shared expert output (both TP-partial), then multiplies by routed_scaling_factor=2.827. Grid=7 blocks. This is the final MoE output before the next layers allreduce.                                                                                                    |
+-----+-------------------------------+----------------------------------------------------+--------+-------------+---------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
